,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000004975,991.9805959,-0.314412252,0.177232395,-1.774011191,0.076061299,0.268893996
ENSG00000005007,2261.963103,0.241537893,0.084154259,2.870180241,0.004102379,0.032046538
ENSG00000005020,755.6866473,0.216546604,0.205777632,1.052333055,0.292646771,0.599187268
ENSG00000005022,1118.961781,-0.036797908,0.119389384,-0.30821759,0.757916769,0.91924424
ENSG00000005059,211.7293394,0.105528405,0.217377443,0.485461617,0.627348933,0.852592664
ENSG00000005075,817.8801295,0.06083281,0.120981703,0.502826531,0.615086238,0.846484798
ENSG00000005100,485.1534555,0.371229105,0.132398904,2.803868408,0.005049351,0.037654423
ENSG00000005108,10.56003149,0.56317535,0.50002064,1.126304205,0.260036778,0.56277755
ENSG00000005156,205.6615954,-0.339743966,0.28114678,-1.208422041,0.226884966,0.5229264
ENSG00000005175,312.2833388,-0.230229431,0.270591375,-0.850838023,0.394859337,0.696888507
ENSG00000005187,8.734450594,-0.021742326,0.574576895,-0.037840586,0.969814785,0.991981147
ENSG00000005189,75.32895809,-0.329964524,0.277513923,-1.189001691,0.234439002,0.533118574
ENSG00000005194,455.3521295,0.161717563,0.118726594,1.362100579,0.173166145,0.447380318
ENSG00000005206,659.1980128,0.069717957,0.098172003,0.710161293,0.477604121,0.760091389
ENSG00000005238,703.2839131,-0.184721451,0.121999477,-1.514116741,0.129996233,0.377393765
ENSG00000005243,1017.283691,-0.096707915,0.1601455,-0.603875322,0.545926537,0.805221372
ENSG00000005249,298.0308955,0.647122946,0.215953392,2.99658616,0.002730211,0.023526828
ENSG00000005302,462.1254505,0.155372764,0.140244971,1.107866919,0.267919294,0.571298495
ENSG00000005339,2557.099559,-0.091729322,0.120659206,-0.760234759,0.447114271,0.738198367
ENSG00000005379,152.2341762,0.248428118,0.245727713,1.01098942,0.312021494,0.619969336
ENSG00000005381,4.503228418,-0.000678971,1.019556364,-0.000665948,0.999468651,0.999944552
ENSG00000005436,257.2153455,0.149483177,0.141526087,1.05622349,0.290866121,0.597268022
ENSG00000005448,232.32548,0.310224993,0.161035567,1.926437735,0.05404974,0.214556144
ENSG00000005469,422.1098437,-0.250568008,0.278581678,-0.899441807,0.368417379,0.673934244
ENSG00000005471,33.66369965,-1.218687262,0.434789205,-2.802938175,0.005063938,0.037723467
ENSG00000005483,1697.335923,0.084752793,0.112266071,0.754927934,0.450292224,0.739576463
ENSG00000005486,850.2497075,-0.105400556,0.165755076,-0.635881318,0.52485378,0.792112676
ENSG00000005513,4.433843858,-0.959613228,0.85102076,-1.127602607,0.259487785,0.562106525
ENSG00000005700,1158.186145,-0.051666487,0.135305579,-0.381850386,0.702572343,0.896595267
ENSG00000005801,210.5357875,-0.309297799,0.164360106,-1.881830129,0.059859084,0.229768691
ENSG00000005810,2420.457668,-0.021113479,0.097888428,-0.215689226,0.82923,0.946359813
ENSG00000005812,1409.316672,0.473678347,0.166872555,2.838563525,0.00453171,0.034627152
ENSG00000005882,642.2761694,-0.061167935,0.131727283,-0.464352817,0.642394989,0.861595318
ENSG00000005884,1284.655736,0.384738985,0.300686406,1.279535682,0.200708483,0.486706177
ENSG00000005889,786.8282048,0.087295444,0.211837486,0.41208686,0.680275759,0.884195236
ENSG00000005893,5169.747206,0.06844798,0.085941716,0.796446514,0.425772552,0.721248695
ENSG00000005955,1427.898767,0.105332217,0.104810117,1.004981391,0.314905811,0.62301357
ENSG00000005961,8.389929749,-0.226737608,0.639580012,-0.354510153,0.722956596,0.905484315
ENSG00000006007,2204.038508,0.167521164,0.131238764,1.276461001,0.201792604,0.488113859
ENSG00000006015,372.3799904,-0.055917054,0.297219068,-0.188134141,0.850771498,0.953507109
ENSG00000006016,146.2413271,0.210547688,0.454471495,0.463280294,0.643163469,0.862174579
ENSG00000006025,160.2838402,-0.929572154,0.250828869,-3.706001462,0.000210557,0.002897914
ENSG00000006042,3087.228637,-0.02871318,0.098026584,-0.292912176,0.769589282,0.92298116
ENSG00000006062,196.8779409,-0.634308939,0.259255126,-2.446659202,0.01441871,0.083760426
ENSG00000006114,995.8687205,-0.514632468,0.102241951,-5.033476583,4.82E-07,1.44E-05
ENSG00000006118,433.934494,-0.496135461,0.193962895,-2.557888512,0.010530985,0.066447306
ENSG00000006125,6741.629461,0.044667666,0.106846098,0.418056128,0.67590608,0.88197578
ENSG00000006194,552.2672487,0.105476404,0.11900826,0.886294823,0.375458678,0.680518494
ENSG00000006210,9.609221328,1.342360967,0.829040701,1.619173783,0.105409877,0.333100007
ENSG00000006282,1369.859786,-0.112796617,0.162774311,-0.692963258,0.48833261,0.768106027
ENSG00000006283,62.95989486,-1.370935773,0.542909437,-2.52516475,0.011564406,0.071319002
ENSG00000006327,558.9142798,-0.128080688,0.306469814,-0.417922688,0.676003644,0.88197578
ENSG00000006432,5.142688857,-0.262998738,0.767654438,-0.342600427,0.731899081,0.909134676
ENSG00000006451,1095.512481,-0.580327669,0.191763002,-3.026275476,0.002475866,0.021783601
ENSG00000006453,151.8971553,-0.204462468,0.176072043,-1.16124323,0.245542999,0.546555896
ENSG00000006459,395.7153207,0.013624405,0.239276087,0.056940103,0.954592908,0.987776025
ENSG00000006468,199.7448424,-0.262013957,0.340255053,-0.770051626,0.441269269,0.733191944
ENSG00000006530,309.1688647,0.004539282,0.126054439,0.036010493,0.971273992,0.992537592
ENSG00000006534,1142.488373,0.428797699,0.287053391,1.493790744,0.135230321,0.386715995
ENSG00000006576,1070.416962,-0.440367921,0.203553795,-2.163398239,0.030510563,0.144620853
ENSG00000006606,4.025308925,-0.102480243,0.805329884,-0.127252503,0.898740552,0.970351393
ENSG00000006607,877.9382562,0.598097336,0.173927473,3.438774378,0.000584354,0.006776307
ENSG00000006625,194.1968077,-0.140782261,0.213533062,-0.659299594,0.509703403,0.7840772
ENSG00000006634,85.46455379,-0.354648525,0.17170864,-2.065408738,0.038884342,0.170359312
ENSG00000006638,65.75282564,-0.650884821,0.257975213,-2.523051787,0.011634127,0.071565944
ENSG00000006652,1074.499891,-0.052239285,0.202273363,-0.258260823,0.796205619,0.934012389
ENSG00000006695,184.2248182,0.236162098,0.180775142,1.306385911,0.191421355,0.473376509
ENSG00000006704,281.0218384,-0.197642027,0.18907179,-1.045327956,0.295871421,0.602973907
ENSG00000006712,1101.206926,-0.210931157,0.127917863,-1.648957783,0.099156284,0.319671388
ENSG00000006715,2215.87351,-0.057321705,0.127410595,-0.449897475,0.652784369,0.86775602
ENSG00000006740,35.58741626,-0.012574262,0.3828204,-0.032846373,0.973797098,0.99330161
ENSG00000006744,923.8439025,0.16182061,0.106124982,1.524811668,0.127306079,0.372650046
ENSG00000006747,1.907276648,0.068842371,1.079809754,0.063754167,0.949165973,NA
ENSG00000006756,438.6521257,0.020523884,0.194382924,0.105584811,0.915911776,0.976184475
ENSG00000006757,148.0069768,0.01391087,0.173025716,0.080397701,0.935920955,0.981635845
ENSG00000006788,10.25344847,3.169102485,1.067378051,2.969053449,0.002987186,0.025095363
ENSG00000006831,1093.979298,0.241092318,0.081737317,2.949599128,0.003181865,0.0263344
ENSG00000006837,11.65730936,-0.739995619,0.443427381,-1.668809035,0.095155232,0.311738763
ENSG00000007001,1.795217792,-1.21819583,1.285634047,-0.94754478,0.343361249,NA
ENSG00000007038,1.69021065,0.136860798,1.619184432,0.084524527,0.932639403,NA
ENSG00000007047,781.5274263,0.090369049,0.097665902,0.925287612,0.354816321,0.662591477
ENSG00000007080,649.4884603,0.249576331,0.157707274,1.582528973,0.113528863,0.347255629
ENSG00000007168,3290.362221,0.107077583,0.067010512,1.59792217,0.110060299,0.341205457
ENSG00000007171,1.48104432,-0.514756096,1.579856505,-0.325824588,0.744557074,NA
ENSG00000007202,4253.611041,-0.001362478,0.103046833,-0.013221928,0.989450736,0.997501792
ENSG00000007237,427.0040996,-1.140676286,0.978488604,-1.165753267,NA,NA
ENSG00000007255,128.9567421,0.271396111,0.202384494,1.340992612,0.179922851,0.456815015
ENSG00000007312,2.078460087,0.618604493,1.378737197,0.448674696,0.653666341,NA
ENSG00000007341,154.0370645,0.169066839,0.239758097,0.705155909,0.480713216,0.762652785
ENSG00000007372,32.21255681,0.265843269,0.347543249,0.764921401,0.444318349,0.735602358
ENSG00000007376,251.0008787,0.122295848,0.201651023,0.606472741,0.544200878,0.803774397
ENSG00000007384,1827.513788,0.073199031,0.13970357,0.523959633,0.600306616,0.837981075
ENSG00000007392,669.4235584,-0.173468215,0.091542639,-1.894944437,0.058099763,0.225576036
ENSG00000007402,17.91008284,0.497325619,0.527780199,0.94229685,0.34604068,0.655078258
ENSG00000007516,8.152918704,0.357520231,0.525985486,0.679715013,0.496684928,0.774270122
ENSG00000007520,451.9666629,0.113680798,0.140563564,0.808750114,0.418658896,0.71544735
ENSG00000007541,647.0515416,0.166737822,0.148224756,1.124898612,0.260632,0.563193885
ENSG00000007545,210.7445449,0.094549565,0.122967325,0.76889991,0.441952731,0.733600103
ENSG00000007866,1619.475223,0.596742543,0.161896621,3.685948104,0.000227853,0.003098301
ENSG00000007923,614.1347975,0.034108943,0.131522638,0.259338953,0.795373727,0.933718026
ENSG00000007933,858.9532542,0.295130039,0.972385586,0.303511327,0.761500217,0.91972276
ENSG00000007944,339.6419436,-0.500176733,0.145910749,-3.427963574,0.000608127,0.007007922
ENSG00000007952,9.808959598,0.589634023,0.488364267,1.207365204,0.22729153,0.523392962
ENSG00000007968,1.337851467,2.218624101,1.63358082,1.358135499,0.174420693,NA
ENSG00000008018,1520.211491,0.043066431,0.101516102,0.424232516,0.671396249,0.879635788
ENSG00000008056,18.05268182,0.644787419,0.406743163,1.585244637,0.112910762,0.346195752
ENSG00000008083,301.2464618,0.451967501,0.140327763,3.220798874,0.001278338,0.012835653
ENSG00000008086,102.4825655,-0.194218193,0.247241618,-0.78554005,0.432136998,0.726408291
ENSG00000008118,5.826919272,-0.180359176,0.740099847,-0.243695735,0.807466477,0.937783499
ENSG00000008128,22.30768318,-0.217268242,0.456811896,-0.475618617,0.63434611,0.857676908
ENSG00000008130,1664.469425,0.794014124,0.145244153,5.466754483,4.58E-08,1.82E-06
ENSG00000008226,5.996332974,0.053036441,0.762944666,0.069515449,0.944579335,0.984036297
ENSG00000008256,3716.565418,1.204630205,0.204288466,5.896711794,3.71E-09,1.89E-07
ENSG00000008277,18.06554581,-0.293365282,0.367786119,-0.797651861,0.425072546,0.720849963
ENSG00000008282,1964.62146,0.281852403,0.126687746,2.224780315,0.02609599,0.129565286
ENSG00000008283,521.1002323,0.012796946,0.123741967,0.103416379,0.917632514,0.976628802
ENSG00000008294,2902.421323,-0.029629403,0.107282402,-0.276181389,0.782408751,0.927895458
ENSG00000008300,87.31538555,0.271128303,0.2515622,1.077778389,0.281132666,0.58719072
ENSG00000008311,721.9414187,1.10779922,0.169645698,6.530075526,6.57E-11,5.00E-09
ENSG00000008323,7.717804197,0.590596605,0.626105515,0.94328606,0.345534604,0.654564318
ENSG00000008324,121.8146795,0.539919423,0.235598249,2.2916954,0.021923226,0.113851159
ENSG00000008382,82.4602155,0.081579714,0.205824249,0.396356185,0.691842284,0.891104056
ENSG00000008394,3589.930998,0.067110694,0.335979403,0.199746452,0.841678882,0.94993038
ENSG00000008405,268.0603469,0.078560772,0.168554053,0.466086517,0.641153574,0.861404996
ENSG00000008438,1.72196571,2.698640684,1.49665936,1.803109482,0.071371022,NA
ENSG00000008441,10802.20944,-0.327328014,0.134475301,-2.434112521,0.014928354,0.085819232
ENSG00000008513,1568.481396,-0.575918501,0.214429017,-2.685823532,0.007235129,0.049566555
ENSG00000008516,2.575848121,-0.591843567,0.973939938,-0.607679739,0.543399904,NA
ENSG00000008517,182.6608536,-0.842386391,0.407175879,-2.068851409,0.038560033,0.169470883
ENSG00000008710,5426.4435,0.491596367,0.179389539,2.740384808,0.006136729,0.043649232
ENSG00000008735,17.35223503,0.437172127,0.420627783,1.039332503,0.298650123,0.605983469
ENSG00000008838,1151.33791,-0.021756053,0.097631124,-0.222839323,0.823660562,0.944440178
ENSG00000008853,558.502762,0.566925648,0.175638499,3.227798305,0.001247469,0.01259782
ENSG00000008869,708.0476536,0.043453425,0.093862804,0.462946161,0.643402958,0.862256421
ENSG00000008952,5081.750328,0.172146763,0.102032654,1.687173243,0.091570045,0.303767109
ENSG00000008988,10815.33217,-0.033403437,0.143453494,-0.232852029,0.81587631,0.941690427
ENSG00000009307,15779.6829,0.008698717,0.103262693,0.084238716,0.932866636,0.980521639
ENSG00000009335,2101.663065,0.207606914,0.074758611,2.777030102,0.00548581,0.040040106
ENSG00000009413,7584.974888,1.120089717,0.168354024,6.653180565,2.87E-11,2.39E-09
ENSG00000009694,4.484105834,-1.049300242,1.290398976,-0.813159543,0.416126591,0.714163204
ENSG00000009724,39.28334154,-0.427636789,0.276489365,-1.546666322,0.121943728,0.362894918
ENSG00000009780,174.3928307,0.587223209,0.207384736,2.83156428,0.004632092,0.035204283
ENSG00000009790,11.83337352,-0.247829188,0.436199716,-0.568155317,0.569929509,0.81962139
ENSG00000009830,419.1879545,0.08744774,0.113137813,0.772931156,0.439563125,0.73161198
ENSG00000009844,843.5944313,-0.05448769,0.102015591,-0.534111402,0.593264462,0.833760709
ENSG00000009950,2.453843085,2.57885769,1.563473976,1.649440752,0.099057372,NA
ENSG00000009954,2940.489828,-0.042894094,0.085800927,-0.499925765,0.61712735,0.847520333
ENSG00000010017,1856.339803,0.737067238,0.159655893,4.616599007,3.90E-06,9.26E-05
ENSG00000010030,14.69653079,-0.869875375,0.452647803,-1.921748806,0.054637373,0.216050509
ENSG00000010072,170.1871626,-0.065927746,0.133909857,-0.492329299,0.622486571,0.850377612
ENSG00000010165,906.0290046,-0.024578126,0.117450893,-0.209263001,0.834242933,0.947910508
ENSG00000010219,186.5224351,-0.236386674,0.138677009,-1.704584448,0.088271954,0.296900097
ENSG00000010244,2027.727088,0.119650457,0.133282994,0.897717358,0.369336253,0.674600982
ENSG00000010256,1795.21377,0.470023406,0.111389226,4.219648727,2.45E-05,0.000464041
ENSG00000010270,769.1350527,0.04635815,0.136612422,0.33934066,0.734353116,0.910095742
ENSG00000010278,3881.358894,0.569712248,0.20941053,2.720552055,0.006517301,0.045877713
ENSG00000010292,1191.098799,0.031859038,0.116932304,0.272457109,0.785270566,0.928848121
ENSG00000010295,1202.573515,-0.073120896,0.246792065,-0.296285444,0.767012101,0.921682027
ENSG00000010310,14.32130837,-1.137122562,0.467197687,-2.433921644,0.014936228,0.085819232
ENSG00000010318,73.70439629,-0.008444546,0.257107224,-0.032844453,0.973798629,0.99330161
ENSG00000010322,2566.213039,-0.263179842,0.118330207,-2.224113755,0.026140792,0.129752744
ENSG00000010361,182.8480169,0.15853324,0.223680288,0.708749266,0.478480086,0.761030471
ENSG00000010404,1950.006402,0.204067552,0.185982808,1.097238798,0.272537017,0.576838362
ENSG00000010438,14.2760199,0.091124348,0.670096017,0.135987002,0.891831557,0.967722941
ENSG00000010539,121.1070481,-0.121457283,0.155824654,-0.779448438,0.4357156,0.729427525
ENSG00000010610,57.97847097,-0.223593531,0.602398934,-0.371171857,0.710509534,0.899369883
ENSG00000010626,142.7407547,-0.243764608,0.157101937,-1.551633371,0.120749974,0.36081116
ENSG00000010704,456.5502899,-0.146615044,0.169004388,-0.867522113,0.385656001,0.68910046
ENSG00000010803,762.8012798,-0.005718091,0.085497173,-0.066880469,0.946676862,0.984695798
ENSG00000010810,1682.497506,0.054773933,0.184432458,0.296986406,0.766476888,0.921682027
ENSG00000010818,1411.195235,-0.348955703,0.120641784,-2.892494553,0.003821958,0.030323722
ENSG00000010932,32.39979711,0.514618226,1.247514676,0.412514767,0.679962159,0.884110094
ENSG00000011007,1099.663196,0.177620393,0.101465958,1.75054172,0.080024882,0.278043848
ENSG00000011009,464.0988936,0.221715629,0.109391042,2.026817058,0.042681125,0.181896071
ENSG00000011021,619.8710005,0.095547765,0.140158585,0.681711825,0.495421189,0.773544276
ENSG00000011028,16641.52171,-0.225513769,0.114853105,-1.963497358,0.049588411,0.20179151
ENSG00000011105,3557.497109,0.289163812,0.191642002,1.50887493,0.131330748,0.379940275
ENSG00000011114,1187.588899,0.060862939,0.090743368,0.670715015,0.502402096,0.778699991
ENSG00000011132,190.8445336,0.107305514,0.134851324,0.795732001,0.426187822,0.721744413
ENSG00000011143,143.3008005,-0.309974822,0.200461566,-1.5463055,0.122030804,0.363095372
ENSG00000011198,1159.402959,1.089639715,0.202003263,5.394168881,6.88E-08,2.57E-06
ENSG00000011243,656.9939413,-0.183625265,0.116568262,-1.575259518,0.115196554,0.349941363
ENSG00000011258,368.7619993,-0.301458763,0.140951818,-2.13873626,0.032457034,0.151238939
ENSG00000011260,408.7965161,0.246609613,0.161073709,1.531035789,0.125760548,0.369747287
ENSG00000011275,1718.873092,0.013826865,0.096191892,0.143742519,0.885703794,0.964931395
ENSG00000011295,406.5586272,0.130639992,0.116284708,1.123449454,0.261246656,0.563662235
ENSG00000011304,3588.889115,0.347163247,0.120196709,2.88829246,0.003873395,0.03065259
ENSG00000011332,11.0688611,0.174930099,0.513731449,0.340508839,0.733473367,0.909745129
ENSG00000011347,148.2991215,-0.935507466,0.230261342,-4.062807327,4.85E-05,0.000825204
ENSG00000011376,427.2431621,0.031443204,0.190365322,0.165172959,0.868807848,0.958121725
ENSG00000011405,1505.092771,0.354645117,0.150218245,2.360865794,0.018232327,0.099422064
ENSG00000011422,388.0213624,0.034253197,0.160635122,0.213236036,0.831142862,0.947111326
ENSG00000011426,225.4699359,-0.012460061,0.132884516,-0.093766086,0.925294972,0.97853942
ENSG00000011451,1524.237331,0.08229433,0.11841528,0.694963773,0.487078005,0.767611098
ENSG00000011454,2319.161453,0.447767665,0.157857527,2.836530335,0.004560665,0.034741797
ENSG00000011465,298130.0541,-0.098967386,0.263656635,-0.375364671,0.707389275,0.898921743
ENSG00000011478,141.6094208,0.687463729,0.163681887,4.19999879,2.67E-05,0.000497497
ENSG00000011485,966.6218417,0.551748518,0.111151965,4.963911512,6.91E-07,1.98E-05
ENSG00000011523,823.6988964,0.160324844,0.136355806,1.175783041,0.239681585,0.540303145
ENSG00000011566,1396.119718,0.818816447,0.177238797,4.619848813,3.84E-06,9.18E-05
ENSG00000011590,2.773873351,0.36267597,1.26637719,0.286388584,0.774580517,NA
ENSG00000011600,1.79499605,0.14659484,1.558634197,0.094053397,0.92506674,NA
ENSG00000011638,890.7099868,0.115503096,0.176055747,0.656059789,0.511785656,0.785770623
ENSG00000012048,221.1096048,-1.209386274,0.173819178,-6.957726334,3.46E-12,3.48E-10
ENSG00000012061,835.8726068,0.017757611,0.155711226,0.114041946,0.909204542,0.973373737
ENSG00000012171,1267.544402,-0.74943261,0.189094908,-3.963261725,7.39E-05,0.001181831
ENSG00000012174,722.8803144,0.118574483,0.094429248,1.255696578,0.209226,0.498521325
ENSG00000012211,122.3426605,0.183490378,0.170992118,1.073092606,0.283229568,0.589274941
ENSG00000012232,1258.029203,0.09471259,0.120593909,0.785384521,0.432228154,0.726495204
ENSG00000012660,2382.648213,0.422498752,0.157444941,2.683469846,0.007286255,0.049842637
ENSG00000012817,795.8105344,-0.119476099,1.676805643,-0.071252205,0.943197034,0.983623142
ENSG00000012822,6054.724325,0.420426501,0.147330176,2.853634694,0.00432222,0.033330688
ENSG00000012963,538.4570151,-0.113029759,0.17645194,-0.640569659,0.521802318,0.79117674
ENSG00000012983,1882.409752,-0.097297461,0.122035789,-0.797286287,0.425284783,0.720944424
ENSG00000013016,1955.993778,0.53823924,0.281152699,1.914401823,0.055568833,0.218620676
ENSG00000013275,936.4420526,0.139624878,0.128542495,1.08621571,0.277383568,0.58270801
ENSG00000013288,3145.62681,0.069641055,0.160567878,0.43371723,0.664493793,0.875422321
ENSG00000013293,244.4940065,-2.8369752,0.359762784,-7.885682815,3.13E-15,4.62E-13
ENSG00000013297,3431.544553,-1.716088921,0.263088948,-6.522846872,6.90E-11,5.21E-09
ENSG00000013306,974.9550798,-0.013325267,0.136787923,-0.09741552,0.92239642,0.977538136
ENSG00000013364,7746.675944,0.137974114,0.118071598,1.168563119,0.242579695,0.54344344
ENSG00000013374,1248.846178,0.166554131,0.121530093,1.370476458,0.170538219,0.442942357
ENSG00000013375,997.1944517,-0.27345993,0.146412838,-1.867731907,0.061799449,0.234550052
ENSG00000013392,250.8213822,-0.267881813,0.17805941,-1.504451873,0.132465056,0.382042915
ENSG00000013441,2667.77126,0.261718674,0.139350214,1.878136143,0.060362543,0.230761102
ENSG00000013503,254.502975,0.099652439,0.135609734,0.734847239,0.462432534,0.748369374
ENSG00000013523,345.1911938,-0.307288539,0.114015306,-2.695151649,0.00703566,0.04856135
ENSG00000013561,887.4645947,0.316527717,0.111909796,2.828418317,0.004677864,0.035493556
ENSG00000013563,172.5737088,0.005507398,0.2397089,0.022975358,0.981669929,0.995125605
ENSG00000013573,214.7788993,-0.494569737,0.260112141,-1.901371216,0.057253407,0.223562657
ENSG00000013583,1388.116121,0.394261015,0.139822675,2.819721588,0.004806533,0.03623099
ENSG00000013588,581.614533,-0.154723161,0.26330056,-0.587629441,0.556781045,0.811891197
ENSG00000013619,1098.194022,0.348336525,0.129559896,2.688613811,0.007174937,0.049300921
ENSG00000013810,70.21857416,0.133668334,0.254844773,0.52450883,0.59992468,0.837823585
ENSG00000014123,880.4847467,-0.107238704,0.101242506,-1.059226093,0.289496824,0.596103175
ENSG00000014138,159.5943544,-0.220313711,0.176083417,-1.251189435,0.210865372,0.501038656
ENSG00000014164,451.1223714,0.002129453,0.246501553,0.008638701,0.9931074,0.998529772
ENSG00000014216,3449.763793,0.26647763,0.082224266,3.240863575,0.001191682,0.012144341
ENSG00000014257,15.52974508,-0.641806797,0.483043684,-1.328672371,0.183956084,0.462112697
ENSG00000014641,1490.188816,-0.072416183,0.095838097,-0.755609562,0.449883321,0.739378679
ENSG00000014824,1311.110437,0.138461336,0.146766291,0.943413747,0.345469315,0.654564318
